ADDRESS,LINK1
"Algeria",http://sws.geonames.org/2589581/
"Australia",http://sws.geonames.org/2077456/
"Ayrshire,Scotland",http://sws.geonames.org/2656700/
"Barbados",http://sws.geonames.org/3374084/
"Bengal,Bangladesh",http://sws.geonames.org/1276468/
"Boston,Massachusetts,USA",http://sws.geonames.org/4930956/
"Burray,Scotland",http://sws.geonames.org/2654242/
"Canada",http://sws.geonames.org/6251999/
"Caribbean",http://sws.geonames.org/7729891/
"Cavan,Ireland",http://sws.geonames.org/2965535/
"Chile",http://sws.geonames.org/3895114/
"China",http://sws.geonames.org/1814991/
"Cornwall,England",http://sws.geonames.org/11609027/
"Cults,Aberdeenshire,Scotland",http://sws.geonames.org/2651722/
"Denmark",http://sws.geonames.org/2623032/
"Dhaka,Bangladesh",http://sws.geonames.org/1185241/
"Dublin City,Dublin,Ireland",http://sws.geonames.org/2964574/
"England",http://sws.geonames.org/6269131/
"Europe",http://sws.geonames.org/6255148/
"France",http://sws.geonames.org/3017382/
"Galway,Ireland",http://sws.geonames.org/2964180/
"Georgia,USA",http://sws.geonames.org/4197000/
"Germany",http://sws.geonames.org/2921044/
"Grampian Mountains,Scotland",http://sws.geonames.org/2648229/
"Guyana",http://sws.geonames.org/3378535/
"Ireland",http://vocab.getty.edu/tgn/7001181
"Hanover,Germany",http://sws.geonames.org/2910831/
"Highlands,Scotland",http://sws.geonames.org/2646943/
"Italy",http://sws.geonames.org/3175395/
"Jamaica",http://sws.geonames.org/3489940/
"Kenya",http://sws.geonames.org/192950/
"Lancashire,England",http://sws.geonames.org/11609047/
"Languedoc,France",http://sws.geonames.org/3007671/
"Leeds,Yorkshire,England",http://sws.geonames.org/2644688/
"Liverpool,Lancashire,England",http://sws.geonames.org/2644210/
"London,Middlesex,England",http://sws.geonames.org/2643743/
"London,Surrey,England",http://sws.geonames.org/2643743/
"Louisiana,USA",http://sws.geonames.org/4396425/
"Lusatia,Germany",http://sws.geonames.org/2880010/
"Massachusetts,USA",http://sws.geonames.org/6254926/
"Midlothian,Scotland",http://sws.geonames.org/2642559/
"Mississippi,USA",http://sws.geonames.org/4436296/
"Mumbai,Maharashtra,India",http://sws.geonames.org/1275339/
"Netherlands",http://sws.geonames.org/2750405/
"New South Wales,Australia",http://sws.geonames.org/2155400/
"New York City,New York,USA",http://sws.geonames.org/5128581/
"Nigeria",http://sws.geonames.org/2328926/
"New England,USA",http://sws.geonames.org/8502102/
"Norwich,Norfolk,England",http://sws.geonames.org/2641181/
"Nova Scotia,Canada",http://sws.geonames.org/6091530/
"Odessa,Ukraine",http://sws.geonames.org/698740/
"Orkney,Scotland",http://sws.geonames.org/8299623/
"Pembrokeshire,Wales",http://sws.geonames.org/2640500/
"Poland",http://sws.geonames.org/798544/
"Portsmouth,Hampshire,England",http://sws.geonames.org/2639996/
"Portugal",http://sws.geonames.org/2264397/
"Rolleston,Nottinghamshire,England",http://sws.geonames.org/2639204/
"Ross-on-Wye,Herefordshire,England",http://sws.geonames.org/2639110/
"Russian" Federation,http://sws.geonames.org/2017370/
"Scotland",http://sws.geonames.org/2638360/
"Shetland,Scotland",http://sws.geonames.org/2638010/
"Sofia,Bulgaria",http://sws.geonames.org/727011/
"South Carolina,USA",http://sws.geonames.org/4597040/
"South" Africa,http://sws.geonames.org/953987/
"St Kew,Cornwall,England",http://sws.geonames.org/7293104/
"St-Jean-de-Luz,Pays Basque,France",http://sws.geonames.org/2979309/
"Stamps,Arkansas,USA",http://sws.geonames.org/4132194/
"Sweden",http://sws.geonames.org/2661886/
"Swedish",http://sws.geonames.org/2661886/
"Unst,Scotland",http://sws.geonames.org/2635166/
"USA",http://sws.geonames.org/6252001/
"Varanasi,India",http://sws.geonames.org/1253405/
"Wales",http://sws.geonames.org/2634895/
"Welsh",http://sws.geonames.org/2634895/
"Yorkshire,England",http://sws.geonames.org/8581589/