Label,External URI
"T. Fisher Unwin",http://viaf.org/viaf/121287478
"T. Hookham",http://viaf.org/viaf/304943288
"T. N. Longman and O. Rees",http://viaf.org/viaf/130626936
"T. N. Longman",http://viaf.org/viaf/149560951
"T. Nelson and Sons",http://viaf.org/viaf/126093235
"T. Nelson",http://viaf.org/viaf/126093235
"Taylor and Hessey",http://viaf.org/viaf/121292520
"Thames and Hudson",http://viaf.org/viaf/129092275
"The Bodley Head",http://viaf.org/viaf/145370293
"Theosophical Publishing House",http://viaf.org/viaf/127127261
"Tinsley Brothers",http://viaf.org/viaf/125903678
"Tinsley",http://viaf.org/viaf/125903678
"Trübner",http://viaf.org/viaf/141909012
"Twayne Publishers",http://viaf.org/viaf/146726169
"Twayne",http://viaf.org/viaf/146726169
"University Press of Kentucky",http://viaf.org/viaf/127846763
"University Press of Virginia",http://viaf.org/viaf/297377613
"University of Alberta",http://viaf.org/viaf/155492116
"University of California Press",http://viaf.org/viaf/148948307
"University of Chicago Press",http://viaf.org/viaf/122888939
"University of Delaware Press",http://viaf.org/viaf/311354383
"University of Georgia Press",http://viaf.org/viaf/158327693
"University of Illinois Press",http://viaf.org/viaf/157245161
"University of Michigan Press",http://viaf.org/viaf/131373685
"University of North Carolina Press",http://viaf.org/viaf/265412814
"University of Pennsylvania Press",http://viaf.org/viaf/159571939
"University of Toronto Press",http://viaf.org/viaf/126595939
"University of Wisconsin Press",http://viaf.org/viaf/142839588
"Viking Penguin",http://viaf.org/viaf/134443168
"Viking Press",http://viaf.org/viaf/295681810
"Viking",http://viaf.org/viaf/295681810
"Vintage Books",http://viaf.org/viaf/306402845
"Vintage Canada",http://viaf.org/viaf/306402845
"Vintage",http://viaf.org/viaf/306402845
"Virago",http://viaf.org/viaf/170596537
"W. Blackwood and Sons",http://viaf.org/viaf/148038877
"W. Blackwood",http://viaf.org/viaf/148038877
"W. Collins",http://viaf.org/viaf/144898842
"W. H. Allen",http://viaf.org/viaf/45159035185601380002
"W. Heinemann",http://viaf.org/viaf/129924961
"W. Pickering",http://viaf.org/viaf/39150030775610962228
"W. W. Norton",http://viaf.org/viaf/127676589
"W. and R. Chambers",http://viaf.org/viaf/264492873
"Walter Scott",http://viaf.org/viaf/127105541
"Ward and Downey",http://viaf.org/viaf/141084982
"Ward, Lock",http://viaf.org/viaf/168384203
"Weidenfeld and Nicolson",http://viaf.org/viaf/167923742
"William Andrews Clark Memorial Library, University of California",http://viaf.org/viaf/158783898
"William Blackwood and Sons",http://viaf.org/viaf/148038877
"William Heinemann",http://viaf.org/viaf/129924961
"William Lane",http://viaf.org/viaf/17088379
"William Pickering",http://viaf.org/viaf/39150030775610962228
"Williams and Norgate",http://viaf.org/viaf/157505963
"Women's Press",http://viaf.org/viaf/261536203
"Yale University Press",http://viaf.org/viaf/121971897
"Éditions de la Nouvelle Revue Française",http://viaf.org/viaf/146659267
https://commons.cwrc.ca/orlando:0002e97c-f9f6-41ac-bbf4-af2ab1e1f51c,http://viaf.org/viaf/123241335
https://commons.cwrc.ca/orlando:00ce2c41-b247-44e3-a9d9-b10a155413f9,http://viaf.org/viaf/126853904
https://commons.cwrc.ca/orlando:0198518b-221e-4335-971a-1374c8774bf8,http://viaf.org/viaf/157193471
https://commons.cwrc.ca/orlando:038614a5-0851-46e4-a567-a58a4a710510,http://viaf.org/viaf/130793280
https://commons.cwrc.ca/orlando:04692fb5-5e5c-4e3d-90bb-f0a81f301da8,http://viaf.org/viaf/150761751
https://commons.cwrc.ca/orlando:0a0f48c0-6025-464d-9a9f-cceccdaf3364,http://viaf.org/viaf/136167633
https://commons.cwrc.ca/orlando:0d925c39-cb56-4658-b50e-7384f13aff0f,http://viaf.org/viaf/265628035
https://commons.cwrc.ca/orlando:0f5ab112-4e81-4977-8c29-8ab17d64e707,http://viaf.org/viaf/131167970
https://commons.cwrc.ca/orlando:0f710b67-8ba0-43ac-bd53-4989e4386795,http://viaf.org/viaf/151350062
https://commons.cwrc.ca/orlando:10027c77-f630-46e3-a5a1-bd9f7765c4bd,http://viaf.org/viaf/311118748
https://commons.cwrc.ca/orlando:1145d26a-5ed4-4f40-a862-812bcc90d58f,http://viaf.org/viaf/153153594
https://commons.cwrc.ca/orlando:11cc76ac-fce9-4952-b8bc-4259742ba96f,http://viaf.org/viaf/311352557
https://commons.cwrc.ca/orlando:120abdba-89c5-4d2a-a5a8-182f02b10609,https://www.wikidata.org/wiki/Q6318982
https://commons.cwrc.ca/orlando:1342cc09-3c5a-4d6f-91f2-700bdfee8d2e,http://viaf.org/viaf/170264319
https://commons.cwrc.ca/orlando:13bfd702-1ad3-426c-a407-dd8defe66a3d,http://viaf.org/viaf/129146094369900332992
https://commons.cwrc.ca/orlando:1473d6b5-3980-457a-b35b-4d1ec15c4f0c,http://viaf.org/viaf/146950190
https://commons.cwrc.ca/orlando:17ee5ad2-4003-46d8-a74e-6adf829c906d,http://viaf.org/viaf/1152561518215441866
https://commons.cwrc.ca/orlando:192a2d0d-dbcd-451e-9c12-d09d8254ca0a,http://viaf.org/viaf/37803933
https://commons.cwrc.ca/orlando:19a69b6f-d32a-4abd-bb45-48a4080c404a,http://viaf.org/viaf/121292786
https://commons.cwrc.ca/orlando:19e78a22-43cf-4198-905e-6af94cbab708,http://viaf.org/viaf/167617309
https://commons.cwrc.ca/orlando:19f61d4f-eac9-4a87-9495-eec87036fac5,http://viaf.org/viaf/124433028
https://commons.cwrc.ca/orlando:1a31e082-537d-463e-bf37-09ea522c16a1,http://viaf.org/viaf/135166554
https://commons.cwrc.ca/orlando:1c562ecb-2108-47b1-b62e-6698c5e40d67,http://viaf.org/viaf/157505963
https://commons.cwrc.ca/orlando:1c74f22e-7e85-4057-b5b3-369d2c1082f8,http://viaf.org/viaf/15754285
https://commons.cwrc.ca/orlando:1ce85604-72e5-43ac-a832-e6f3daf57636,http://viaf.org/viaf/125795705
https://commons.cwrc.ca/orlando:21fc82e3-e57b-402b-a272-a047490b3035,http://viaf.org/viaf/142986780
https://commons.cwrc.ca/orlando:2320eb3b-1348-4f0e-82f3-697d69d7ce92,http://viaf.org/viaf/130276384
https://commons.cwrc.ca/orlando:262cd913-a414-430f-a479-b1488d49b243,http://viaf.org/viaf/146726169
https://commons.cwrc.ca/orlando:2740ad20-9442-45bd-9fbf-e98e06556ce4,http://viaf.org/viaf/311378618
https://commons.cwrc.ca/orlando:28074ac8-ddfd-4f0d-b515-299809d004a2,http://viaf.org/viaf/147236009
https://commons.cwrc.ca/orlando:29eeaf94-84fa-4282-af6a-bb53abbcc00d,http://viaf.org/viaf/130207793
https://commons.cwrc.ca/orlando:2db3c82b-6504-420c-a948-56dcddcace5e,http://viaf.org/viaf/168198318
https://commons.cwrc.ca/orlando:2db402f7-300e-4364-b476-634529f2535d,http://viaf.org/viaf/125903678
https://commons.cwrc.ca/orlando:3130213b-f041-4acd-8fd8-002c8ada4374,http://viaf.org/viaf/14820783
https://commons.cwrc.ca/orlando:321bc778-b535-4bdd-acec-5cc2c78ef2dd,http://viaf.org/viaf/135289335
https://commons.cwrc.ca/orlando:329de765-c183-4619-afe2-1e6e5d0b2dd9,http://viaf.org/viaf/158317684
https://commons.cwrc.ca/orlando:32c1fd04-048b-4f69-96d1-4e7ecb578919,http://viaf.org/viaf/311357659
https://commons.cwrc.ca/orlando:36931740-4d9d-4c0f-b12c-cabbe9b5ee24,http://viaf.org/viaf/144550791
https://commons.cwrc.ca/orlando:36ae6eb5-5526-4084-b310-88bee8429c9b,http://viaf.org/viaf/7617625
https://commons.cwrc.ca/orlando:37c26274-0fe1-4421-be1e-3fcf4279bb2a,http://viaf.org/viaf/29155224425184371271
https://commons.cwrc.ca/orlando:3a0109b5-fb4e-425f-8119-b7b9caaad60e,http://viaf.org/viaf/264492873
https://commons.cwrc.ca/orlando:3b1e5b2e-f2cd-4d94-b7bd-7665afdfc402,http://viaf.org/viaf/295681810
https://commons.cwrc.ca/orlando:3b31a4d1-dd87-431a-963e-8d602666cf2d,http://viaf.org/viaf/137523007
https://commons.cwrc.ca/orlando:3bcaa33a-2551-4681-895e-8e636d81eab1,http://viaf.org/viaf/127127261
https://commons.cwrc.ca/orlando:3c06166b-4909-480f-aa31-ec674503f17d,http://viaf.org/viaf/130566866
https://commons.cwrc.ca/orlando:3c55bbdc-3419-4c07-87b1-7bd16a6bd9e9,http://viaf.org/viaf/129924961
https://commons.cwrc.ca/orlando:3e4b9aac-ba56-41a2-8eb4-bd051319a005,http://viaf.org/viaf/47157340569609920294
https://commons.cwrc.ca/orlando:401f642b-6d92-40d6-b887-581aa3351dea,http://viaf.org/viaf/140800687
https://commons.cwrc.ca/orlando:40da0494-c100-406d-8f70-dfdf78fbb27a,http://viaf.org/viaf/127175063
https://commons.cwrc.ca/orlando:411586c3-39b0-4148-b66b-b104bb237359,http://viaf.org/viaf/158745426
https://commons.cwrc.ca/orlando:41927962-55e9-4aca-830f-44b846a33339,http://viaf.org/viaf/125902455
https://commons.cwrc.ca/orlando:41f5b605-91f0-4067-b2ca-db8a738f8a07,http://viaf.org/viaf/315242555
https://commons.cwrc.ca/orlando:43f651f6-b47a-459a-9a99-795b121bba30,http://viaf.org/viaf/159571939
https://commons.cwrc.ca/orlando:447f72d9-f191-4b33-b93f-e9e9ee6a5d84,http://viaf.org/viaf/168471063
https://commons.cwrc.ca/orlando:44a85177-f354-4c7a-8a77-bf18d8d43659,http://viaf.org/viaf/313090149
https://commons.cwrc.ca/orlando:49ef5858-9265-4bd4-9348-8e40c7245505,http://viaf.org/viaf/141084982
https://commons.cwrc.ca/orlando:4d5c2f8d-b7e8-49d5-a794-8710b7cf81ba,http://viaf.org/viaf/9157222727884971473
https://commons.cwrc.ca/orlando:4dff9515-b1d9-4efd-b547-808df1282006,http://viaf.org/viaf/141688600
https://commons.cwrc.ca/orlando:4ec53357-8e3c-4973-a142-1052978fadd5,http://viaf.org/viaf/133434477
https://commons.cwrc.ca/orlando:4f8220ca-bcca-4c3d-b5af-bb5da663dcf5,http://viaf.org/viaf/173549121
https://commons.cwrc.ca/orlando:50b38b93-808b-4847-b08c-67fb4d18f430,http://viaf.org/viaf/295664937
https://commons.cwrc.ca/orlando:528dd763-6084-4927-9fd7-92c3167a7803,http://viaf.org/viaf/315532896
https://commons.cwrc.ca/orlando:52c51a20-b3bf-4c13-a98c-467c9d839556,http://viaf.org/viaf/130247428
https://commons.cwrc.ca/orlando:531e6cdb-5021-422f-99b6-2d06df363bc2,http://viaf.org/viaf/138847498
https://commons.cwrc.ca/orlando:532f6241-c9bf-4178-8816-b97213738dc3,http://viaf.org/viaf/144762049
https://commons.cwrc.ca/orlando:534bb5fe-7623-4d05-8a35-aee1760e16df,http://viaf.org/viaf/142299454
https://commons.cwrc.ca/orlando:53a394c2-5d6d-4e4e-9bfa-71b020063c2f,http://viaf.org/viaf/152544929
https://commons.cwrc.ca/orlando:542d6373-7f24-45e9-9ae8-5079a7a8b260,http://viaf.org/viaf/140104148
https://commons.cwrc.ca/orlando:54bdf03f-926d-4e04-bf73-51cf687fabd1,http://viaf.org/viaf/264265782
https://commons.cwrc.ca/orlando:57df298a-d684-4854-a7e1-dd16ce72cde9,http://viaf.org/viaf/2192145856864222920063
https://commons.cwrc.ca/orlando:5879bbc8-89c6-4826-8615-f9c403f9d3f9,http://viaf.org/viaf/138558579
https://commons.cwrc.ca/orlando:5902912c-f61e-4745-ae85-754fe8a8fef1,http://viaf.org/viaf/138711119
https://commons.cwrc.ca/orlando:59ae809f-4db7-470b-b28e-64286de71842,http://viaf.org/viaf/121292520
https://commons.cwrc.ca/orlando:59f01c25-9207-4e62-91b2-3bd1a287537a,http://viaf.org/viaf/129788129
https://commons.cwrc.ca/orlando:5a282750-1638-4805-8781-b6c0e052e320,http://viaf.org/viaf/150537829
https://commons.cwrc.ca/orlando:5c1e544e-5b53-4a29-a7fb-ea51d66132fe,http://viaf.org/viaf/123122501
https://commons.cwrc.ca/orlando:60757086-e149-4937-a414-8eba473ae8dc,http://viaf.org/viaf/311350485
https://commons.cwrc.ca/orlando:60a92829-eb07-433a-9451-21a6b9bc36cd,http://viaf.org/viaf/124255804
https://commons.cwrc.ca/orlando:62b7009c-fb12-4c94-b3e0-fc04e33a3f7a,http://viaf.org/viaf/311358603
https://commons.cwrc.ca/orlando:66be5920-9923-4b72-8221-a0088cc09053,http://viaf.org/viaf/185935443
https://commons.cwrc.ca/orlando:6851591c-cbbc-459e-bbe2-7bfef136dbe3,http://viaf.org/viaf/123541450
https://commons.cwrc.ca/orlando:6a85e9ae-4abc-43b0-a267-2d385725724d,http://viaf.org/viaf/297015946
https://commons.cwrc.ca/orlando:6a9d995b-4cd6-460f-9c55-7e83669ad6a8,http://viaf.org/viaf/155492116
https://commons.cwrc.ca/orlando:6ad3f7c1-b263-42cd-bfe2-e864ddecf761,http://viaf.org/viaf/140705396
https://commons.cwrc.ca/orlando:6d17b70b-4150-4057-9bc0-5b8b34db02a4,http://viaf.org/viaf/123244823
https://commons.cwrc.ca/orlando:6d529eb9-9adc-41ed-b881-629c75a844c7,http://viaf.org/viaf/143615064
https://commons.cwrc.ca/orlando:6e3e9db7-0127-4937-997b-0ed303de4381,http://viaf.org/viaf/122888939
https://commons.cwrc.ca/orlando:71afd20f-a15f-4c1c-b2de-e065eb8f5300,http://viaf.org/viaf/311382938
https://commons.cwrc.ca/orlando:73c736ad-5aa0-4a80-b804-3b9c84260f47,http://viaf.org/viaf/136415249
https://commons.cwrc.ca/orlando:744ec949-34ed-43c6-ab59-fee5b4b2266b,http://viaf.org/viaf/132991602
https://commons.cwrc.ca/orlando:74789d7e-3e40-4d3c-97ad-b80015e82fa1,http://viaf.org/viaf/142839588
https://commons.cwrc.ca/orlando:747b5c41-8e1c-48dc-9b88-94dcc54c71f1,http://viaf.org/viaf/126230561
https://commons.cwrc.ca/orlando:751dd2a9-ed38-4287-b950-a1a7bf761282,http://viaf.org/viaf/128197663
https://commons.cwrc.ca/orlando:75ee6387-9458-4ec8-8280-8dbaf441e5d2,http://viaf.org/viaf/148948307
https://commons.cwrc.ca/orlando:77263c45-f819-48e4-aa3f-a35861eb593e,http://viaf.org/viaf/138789613
https://commons.cwrc.ca/orlando:777fa536-84a8-4044-86c5-9d4b47c6e802,http://viaf.org/viaf/2583646
https://commons.cwrc.ca/orlando:78018588-e8ec-4653-afbc-f49aa38e1812,http://viaf.org/viaf/266381764
https://commons.cwrc.ca/orlando:785980f8-bd83-4028-93f0-f05bb186cc28,http://viaf.org/viaf/157408888
https://commons.cwrc.ca/orlando:7901a010-5100-4957-9e67-3fdf9c89e2a1,http://viaf.org/viaf/266034617
https://commons.cwrc.ca/orlando:7d0ac51e-0c88-4b7a-957e-60d443862a92,http://viaf.org/viaf/159379729
https://commons.cwrc.ca/orlando:7d48e978-a7cf-40a9-ac5f-3cdac2d97116,http://viaf.org/viaf/121718240
https://commons.cwrc.ca/orlando:7d731621-352c-41a9-8e74-ce563f6fcb61,http://viaf.org/viaf/126093235
https://commons.cwrc.ca/orlando:7d74f9f4-f968-4a71-94e5-84a930a54f05,http://viaf.org/viaf/125936755
https://commons.cwrc.ca/orlando:7e64e23a-5a3f-4ac1-a85d-957e10bcfdf8,http://viaf.org/viaf/167761845
https://commons.cwrc.ca/orlando:7ef0afba-346e-4177-91f2-3fa66ba0beea,http://viaf.org/viaf/159791798
https://commons.cwrc.ca/orlando:7ff203ff-0f3b-45e0-aad1-a3e3833ab6cd,http://viaf.org/viaf/141847954
https://commons.cwrc.ca/orlando:82050c28-3bd5-41fa-a622-43fbb548b213,http://viaf.org/viaf/154887734
https://commons.cwrc.ca/orlando:8334f215-05d6-4b01-bb4c-09e52ef7d048,http://viaf.org/viaf/314332
https://commons.cwrc.ca/orlando:8510e494-bb91-4f26-9f67-c38f887ea3e2,http://viaf.org/viaf/168200157
https://commons.cwrc.ca/orlando:85b18ddf-2411-46e0-a5eb-4e8e514ed8e0,http://viaf.org/viaf/155184733
https://commons.cwrc.ca/orlando:8795bfe9-28dc-483f-ac82-daa34ce87576,http://viaf.org/viaf/167923742
https://commons.cwrc.ca/orlando:89f8f713-5f89-446d-9287-94cc11cdbe4d,http://viaf.org/viaf/124791143
https://commons.cwrc.ca/orlando:8a2cb058-4a86-4d2c-a18c-8e8f7a32d5e3,http://viaf.org/viaf/127710360
https://commons.cwrc.ca/orlando:8a47f510-675f-460b-8686-d77677534217,http://viaf.org/viaf/156281760
https://commons.cwrc.ca/orlando:8a6a76bb-b525-4a85-a5e6-2947531e97e3,http://viaf.org/viaf/266360169
https://commons.cwrc.ca/orlando:8b6ec41a-ade3-4797-85e4-f36d590e2710,http://viaf.org/viaf/124959469
https://commons.cwrc.ca/orlando:8cdafc1f-dbea-4890-9b4b-4145abbd9541,http://viaf.org/viaf/313086845
https://commons.cwrc.ca/orlando:8e0944d3-a063-4eb3-b73f-02ab02d4ac61,http://viaf.org/viaf/127130809
https://commons.cwrc.ca/orlando:91cc60a1-5fc0-427a-b959-1f4193fc6baa,http://viaf.org/viaf/173251676
https://commons.cwrc.ca/orlando:92810427-6afc-4457-91b1-65207e930b59,http://viaf.org/viaf/565154380888630290180
https://commons.cwrc.ca/orlando:93cde812-c1cf-445f-9569-ecdd51c39693,http://viaf.org/viaf/127979069
https://commons.cwrc.ca/orlando:9a175136-8a95-431c-8afa-22de92f6e912,http://viaf.org/viaf/39150030775610962228
https://commons.cwrc.ca/orlando:9a5e5907-8f2b-4f7c-9cc5-acd81596a614,http://viaf.org/viaf/5770911
https://commons.cwrc.ca/orlando:9bcf95d1-c828-4a41-b004-19c15090058d,http://viaf.org/viaf/37673712
https://commons.cwrc.ca/orlando:9c4e89a2-83e4-4fd2-b0cc-d5249f285f04,http://viaf.org/viaf/146944844
https://commons.cwrc.ca/orlando:9ce4c72f-d2ef-4a13-bf42-d40a5738505b,http://viaf.org/viaf/311349386
https://commons.cwrc.ca/orlando:9e6fcd2f-21fb-4d2c-8c18-28d2469fea6d,http://viaf.org/viaf/139553701
https://commons.cwrc.ca/orlando:9fbc259c-02cd-446f-96f4-5aed11cbb78b,http://viaf.org/viaf/158650657
https://commons.cwrc.ca/orlando:a06d2c26-138a-43f4-8b15-2c0b1c64587f,http://viaf.org/viaf/121287478
https://commons.cwrc.ca/orlando:a090df26-497c-49b2-8618-7c216b87d12e,http://viaf.org/viaf/134109645
https://commons.cwrc.ca/orlando:a104547f-8a6f-4fe1-b5b8-7b49257333f8,http://viaf.org/viaf/123681958
https://commons.cwrc.ca/orlando:a1615e6e-1c3a-4361-ad46-f379655640d1,http://viaf.org/viaf/149958803
https://commons.cwrc.ca/orlando:a4a5f4d7-dce0-43c3-b8e6-7c30bfc2ce90,http://viaf.org/viaf/121971897
https://commons.cwrc.ca/orlando:a505bc69-27d3-44e0-a230-11f5ae2faf94,http://viaf.org/viaf/28967567
https://commons.cwrc.ca/orlando:a565299c-0abe-42ed-be68-ee7eaf3b0919,http://viaf.org/viaf/156269465
https://commons.cwrc.ca/orlando:a9469600-96f9-4f51-8c65-16220866e3ba,http://viaf.org/viaf/139568154
https://commons.cwrc.ca/orlando:aac59f12-48c2-4979-a40e-0d9eeba6e9ce,http://viaf.org/viaf/265628035
https://commons.cwrc.ca/orlando:aace004b-396b-4296-870f-21f7c6979cc6,http://viaf.org/viaf/138432217
https://commons.cwrc.ca/orlando:adc0ef35-31db-4439-a6c6-49309698ab1b,http://viaf.org/viaf/315242234
https://commons.cwrc.ca/orlando:ae825b26-2241-44d9-863b-179a0c5838cd,http://viaf.org/viaf/124280108
https://commons.cwrc.ca/orlando:aed43827-b5aa-4bab-81dc-46a23b409242,http://viaf.org/viaf/123865415
https://commons.cwrc.ca/orlando:aeefa4d3-c5b8-48d9-881f-417cbffee115,http://viaf.org/viaf/15008766
https://commons.cwrc.ca/orlando:b37161cf-6464-47cf-881b-ffd338359c71,http://viaf.org/viaf/130132158
https://commons.cwrc.ca/orlando:b5905053-a305-4567-a6be-dd2fb08e243f,http://viaf.org/viaf/145370293
https://commons.cwrc.ca/orlando:b591d117-79d6-443d-8c5b-683624150dbf,http://viaf.org/viaf/158047212
https://commons.cwrc.ca/orlando:b68b6ec1-dda9-4ecd-8b35-fc85dc2e6a31,http://viaf.org/viaf/155888541
https://commons.cwrc.ca/orlando:b8192b06-04d5-4db8-b41b-5d21a8ca7696,http://viaf.org/viaf/130276384
https://commons.cwrc.ca/orlando:b86c6213-53f1-4b82-b406-b5055d4537c3,http://viaf.org/viaf/127926910
https://commons.cwrc.ca/orlando:b8ac2ad8-b938-4e1d-8e71-582f5a67513e,http://viaf.org/viaf/127458402
https://commons.cwrc.ca/orlando:ba23a133-16d8-4b37-aee3-84266c0af563,http://viaf.org/viaf/251951772
https://commons.cwrc.ca/orlando:ba73538b-42a9-451d-b385-d46a5a33019f,http://viaf.org/viaf/129333745
https://commons.cwrc.ca/orlando:bbc610bb-d8f9-4223-a8d2-b6167ab504b2,http://viaf.org/viaf/132651880
https://commons.cwrc.ca/orlando:bc9a3861-ed2b-4e77-8682-e9eb743307ce,http://viaf.org/viaf/146649027
https://commons.cwrc.ca/orlando:bd7952dd-7277-4ed9-a68e-d83c42336e49,http://viaf.org/viaf/129171041
https://commons.cwrc.ca/orlando:be671e2f-de3f-4d35-b240-b7fe1da74fec,http://viaf.org/viaf/50271899
https://commons.cwrc.ca/orlando:c1a624be-a9d8-471f-a0d4-0c3856702756,http://viaf.org/viaf/312738538
https://commons.cwrc.ca/orlando:c2452f59-db42-4919-a810-e35314762800,http://viaf.org/viaf/167993560
https://commons.cwrc.ca/orlando:c27c0a5e-1d46-454a-a0f2-607fe8572507,http://viaf.org/viaf/306402845
https://commons.cwrc.ca/orlando:c2873ab5-0afa-413b-84a1-8c803cdedf11,http://viaf.org/viaf/144748692
https://commons.cwrc.ca/orlando:c2e1b8de-18d2-452c-8d2e-f50e61fa0948,http://viaf.org/viaf/1294149368873985980001
https://commons.cwrc.ca/orlando:c30baf89-cdca-488e-8c2f-d962d8a69a4c,http://viaf.org/viaf/127846763
https://commons.cwrc.ca/orlando:c54cccab-db7c-4888-addf-900e1466a17c,http://viaf.org/viaf/154038101
https://commons.cwrc.ca/orlando:c6f48638-03f5-4b27-8b19-7ca766b72d09,http://viaf.org/viaf/141922044
https://commons.cwrc.ca/orlando:c7999d67-3185-464b-b6d0-542a59e3c259,http://viaf.org/viaf/151371874
https://commons.cwrc.ca/orlando:cb251d3f-fa64-4dec-833d-c7dac68bdddd,http://viaf.org/viaf/136499357
https://commons.cwrc.ca/orlando:cb766dde-9a33-4cf2-9b88-52bb72010a98,http://viaf.org/viaf/131373685
https://commons.cwrc.ca/orlando:cb84b4a2-7fe7-4fb1-a7c4-85cd15f72fb3,http://viaf.org/viaf/90644401
https://commons.cwrc.ca/orlando:cbbd5bd0-1075-4b27-b17b-0f7e4b46da57,http://viaf.org/viaf/130458260
https://commons.cwrc.ca/orlando:cdb57c80-a03a-46c0-87e6-6680a4dde082,http://viaf.org/viaf/134878895
https://commons.cwrc.ca/orlando:ce1dc577-daef-4970-94fa-bc32cc080df0,http://viaf.org/viaf/265092408
https://commons.cwrc.ca/orlando:ce2c88c2-1ce4-4349-83ae-8454a9e8ce44,http://viaf.org/viaf/142395924
https://commons.cwrc.ca/orlando:cf14d596-a777-43a1-909d-b4997b1870d1,http://viaf.org/viaf/157245161
https://commons.cwrc.ca/orlando:d127f119-c5af-4156-918a-d9647da3d8c2,http://viaf.org/viaf/123220463
https://commons.cwrc.ca/orlando:d19b07a8-1a4b-4209-a696-53ee1082119d,http://viaf.org/viaf/34509981
https://commons.cwrc.ca/orlando:d4bafcfa-5739-480a-ad02-bc11ac21bf33,http://viaf.org/viaf/134443168
https://commons.cwrc.ca/orlando:d8b51908-5b85-40f4-98fd-0e3d1a161df9,http://viaf.org/viaf/136037399
https://commons.cwrc.ca/orlando:d8fd7370-34a0-4517-a42d-3f05d7428591,http://viaf.org/viaf/125513648
https://commons.cwrc.ca/orlando:de833654-30ed-419e-98dc-36d3ebe130e5,http://viaf.org/viaf/137251158
https://commons.cwrc.ca/orlando:deefa90a-1791-47e1-ab60-4e0a93a39485,http://viaf.org/viaf/294124461
https://commons.cwrc.ca/orlando:df7b038f-4e1d-4f17-81dd-a56089eacae6,http://viaf.org/viaf/130257644
https://commons.cwrc.ca/orlando:e561af49-e7f0-4737-97e3-981b912b05fb,http://viaf.org/viaf/134664707
https://commons.cwrc.ca/orlando:e60af7f5-6814-4927-96f7-dd97c5c24cea,http://viaf.org/viaf/129092275
https://commons.cwrc.ca/orlando:e6190424-7cd1-4e1b-87c8-d19553cbc699,http://viaf.org/viaf/155961891
https://commons.cwrc.ca/orlando:e6274979-905a-40dd-a0de-09aaec31ac06,http://viaf.org/viaf/151283596
https://commons.cwrc.ca/orlando:ea296c73-251f-4f0b-964e-9c521591ef01,http://viaf.org/viaf/151635949
https://commons.cwrc.ca/orlando:eaa1a4ee-6886-432c-8cd7-fea61619a6e6,http://viaf.org/viaf/154010484
https://commons.cwrc.ca/orlando:eb79193a-d29d-4f41-8b11-8d6977d0e9fa,http://viaf.org/viaf/158197516
https://commons.cwrc.ca/orlando:edff8e26-6fbc-4e40-a39c-dc83b3adab1d,http://viaf.org/viaf/123220463
https://commons.cwrc.ca/orlando:ee751e4d-f8f9-45c0-8a82-4565d88f809d,http://viaf.org/viaf/1247154137631715370007
https://commons.cwrc.ca/orlando:ee7ba286-cd7f-46f5-b6e5-366fc60df8e3,http://viaf.org/viaf/126764779
https://commons.cwrc.ca/orlando:f002a7c2-811c-47cc-891a-413f651417c2,http://viaf.org/viaf/149880181
https://commons.cwrc.ca/orlando:f01f6be3-65d0-4702-b11b-1f6ea1e3f656,http://viaf.org/viaf/129138489
https://commons.cwrc.ca/orlando:f0669685-c8a0-4c69-8873-9caca86bcc50,http://viaf.org/viaf/129472710
https://commons.cwrc.ca/orlando:f198662b-62f3-4d14-a5cb-df063e9f3af4,http://viaf.org/viaf/167837026
https://commons.cwrc.ca/orlando:f1d554cd-900e-4e51-9c1b-04ec8a46ea4b,http://viaf.org/viaf/143444973
https://commons.cwrc.ca/orlando:f246a89f-eb6b-4ed4-aaa6-11355b8b724b,http://viaf.org/viaf/60155767464927762653
https://commons.cwrc.ca/orlando:f2c08461-8c66-4a11-851d-888dffbdfb7e,http://viaf.org/viaf/121293252
https://commons.cwrc.ca/orlando:f39c9225-3478-427d-9e40-0dd386e038f6,http://viaf.org/viaf/51741707
https://commons.cwrc.ca/orlando:f468aa24-95ee-4c64-b7b1-33684e3d6166,http://viaf.org/viaf/175529333
https://commons.cwrc.ca/orlando:f5a98d96-117c-46bf-8a8a-ee2ed41b6a7f,http://viaf.org/viaf/134097999
https://commons.cwrc.ca/orlando:f690e0ce-0256-41e1-bd6d-949ee5ca8f86,http://viaf.org/viaf/151773916
https://commons.cwrc.ca/orlando:f91939aa-e572-4dda-a325-ea613cf1113d,http://viaf.org/viaf/133830549
https://commons.cwrc.ca/orlando:f976acd3-6331-4ec9-96dd-167533e9aeb2,http://viaf.org/viaf/142082115
https://commons.cwrc.ca/orlando:faf5a1a5-aa18-40d0-8897-1b47ef06a3dd,http://viaf.org/viaf/136434951
https://commons.cwrc.ca/orlando:fdc21a8a-f681-4ecc-93ee-aafc31e3db2c,http://viaf.org/viaf/153421486
https://commons.cwrc.ca/orlando:fe7dae9f-dcda-421c-b4de-3a1f235a9d4d,http://viaf.org/viaf/127676589
https://commons.cwrc.ca/orlando:ff5f68af-9cb5-4c2f-b0a8-db67f32639cc,http://viaf.org/viaf/152755326